absTime,FPS,Smooth,1%Low(FPS),Jank,BigJank,Stutter[%],InterFrame,AppCPU[%],TotalCPU[%],GUsage[%],CTemp[℃],BTemp[℃],GTemp[℃],Power[mW],FPower[mW],Current[mA],Memory[MB],SwapMemory[MB],JavaHeap[MB],NativePss[MB],Gfx[MB],GL[MB],GPU Counter:GPU General:% Busy,GPU Counter:GPU Stalls:% Vertex Fetch Stall,GPU Counter:GPU Stalls:% Texture L2 Miss,GPU Counter:GPU Stalls:% Instruction Cache Miss,GPU Counter:GPU Shader Alloc:% Time Shading Fragments,GPU Counter:GPU Shader Alloc:% Time Shading Vertices,GPU Counter:GPU Shader Alloc:% Time ALUs Working,GPU Counter:Shader Processing:Vertices Shaded / Second,GPU Counter:Shader Processing:Fragments Shaded / Second,GPU Counter:Shader Processing:Vertex Instructions / Second,GPU Counter:Shader Processing:Fragment Instructions / Second,GPU Counter:GPU Memory Stats:Texture Memory Read BW (Bytes/Second),GPU Counter:GPU Memory Stats:Avg Memory Latency Cycles,GPU Counter:GPU Preemption:Preemptions / second
1751543078376,59.99,0.0,14.26,0,0,0.0,0,36,53,70,62,42,55,2639,43.42,618,2169,26,8.57,261.48,0,220.27,96.9,8.01,11.27,0.01,76.75,21.81,39.38,54973143.63,968149749.78,9930896711.45,53495010302.24,1122338716.78,89.69,0.0
1751543079376,44.02,13.64,14.23,0,0,0.0,0,31,46,48,61,42,54,2284,56.1,535,2170,26,8.58,261.48,0,220.88,96.72,7.95,10.15,0.01,73.99,24.36,38.2,39362617.52,623284080.8,7073944395.19,33373598345.5,594680867.31,77.6,0.0
1751543080376,58.99,1.82,14.24,0,0,0.0,0,36,53,61,61,42,54,2481,40.84,581,2171,26,8.61,263.04,0,221.1,96.69,7.1,9.83,0.0,72.13,26.01,38.04,52783650.46,754491658.65,9203188225.73,42589093992.95,505036540.16,67.01,0.0
1751543081377,60.99,0.0,14.24,0,0,0.0,0,37,56,73,61,42,54,2624,41.4,616,2172,26,8.77,261.78,0,221.15,97.22,7.68,13.95,0.0,77.85,20.81,42.83,56716862.65,867741386.16,10227990174.04,61974202355.5,654230569.26,68.62,0.0
1751543082377,52.0,5.29,14.24,0,0,0.0,0,37,55,57,61,42,54,2636,50.97,619,2177,26,9.04,262.21,0,222.05,96.82,7.56,12.55,0.0,76.95,21.49,41.08,44955553.45,679124953.41,7792998222.71,45094329488.42,533866061.15,67.85,0.0
1751543083376,49.01,6.83,14.24,0,0,0.0,0,35,53,57,60,42,54,2547,52.25,598,2181,26,9.27,262.21,0,222.35,96.43,7.72,13.13,0.01,77.38,21.01,41.13,42345835.07,654737050.52,7109638210.77,43105935206.6,554335595.06,73.77,0.0
1751543084377,33.98,20.9,14.21,1,0,9.95,0,36,52,50,61,42,54,2219,68.04,521,2202,26,9.59,264.09,0,223.39,96.95,8.04,15.13,0.02,79.16,19.55,43.27,32927887.92,619559164.59,5943154461.29,39489326006.37,414616966.88,71.47,0.0
1751543085377,44.02,13.65,14.19,1,0,9.69,0,34,50,44,61,42,54,2458,57.42,577,2203,26,9.84,263.55,0,223.84,96.78,9.88,15.8,0.05,78.8,19.78,42.02,40110489.93,622344684.39,7090146997.82,42697350681.74,553255260.04,66.81,16970.25
1751543086376,51.01,8.06,14.19,0,0,0.0,0,38,56,59,61,42,55,2492,48.31,585,2206,26,10.13,264.32,0,225.2,97.0,8.91,16.73,0.03,79.39,19.21,43.18,46750214.89,693003839.31,8059221787.43,51007169871.62,629211229.74,66.84,0.0
1751543087377,51.97,4.08,14.19,0,0,0.0,0,37,53,62,62,42,55,2658,50.61,624,2207,26,10.33,264.3,0,225.2,97.08,6.45,15.75,0.01,78.32,20.2,43.11,45462153.34,725637196.18,8158259022.68,52711380922.47,600299414.41,65.84,0.0
1751543088377,52.98,4.77,14.2,0,0,0.0,0,36,54,62,61,42,55,2636,49.97,619,2207,26,10.63,264.3,0,225.2,96.95,7.86,13.46,0.01,76.22,22.21,39.42,48834819.16,713177244.35,8677993311.11,46660943833.88,700382596.4,71.75,0.0
1751543089378,55.97,3.87,14.2,0,0,0.0,0,38,54,66,62,42,55,2658,46.97,624,2207,26,10.92,264.3,0,225.2,96.69,8.62,13.67,0.0,75.65,22.81,39.57,52696602.0,739366498.7,9448879405.53,48452426716.93,718593174.07,71.06,0.0
1751543090377,55.08,5.88,14.2,0,0,0.0,0,37,54,67,61,42,55,2700,48.66,634,2208,26,11.18,263.6,0,225.36,96.88,8.29,13.7,0.0,74.45,23.91,39.11,48478327.57,631070250.96,8611400738.78,42141873927.83,549222186.85,69.59,0.0
1751543091377,56.98,3.29,14.21,0,0,0.0,0,38,57,60,62,42,55,2641,45.48,620,2208,26,11.49,263.54,0,225.36,96.9,8.28,13.26,0.01,74.66,23.74,39.23,53705908.29,705725373.89,9616991491.21,47608283604.45,595629914.58,69.21,0.0
1751543092377,52.0,6.46,14.21,0,0,0.0,0,37,54,67,61,42,55,2564,49.57,602,2209,26,11.8,263.54,0,225.36,96.93,8.4,13.87,0.01,74.48,23.94,39.26,47816775.08,627831427.27,8608137934.4,42175807404.62,546960255.19,65.8,0.0
1751543093377,56.0,3.98,14.21,0,0,0.0,0,39,57,59,62,42,55,2666,47.0,626,2209,26,12.08,261.92,0,225.49,97.0,8.97,14.8,0.01,75.63,22.84,40.02,51078177.21,702594850.14,9481010458.67,48569873449.65,628872586.98,66.76,0.0
1751543094389,53.37,4.69,14.21,0,0,0.0,0,37,55,65,63,42,55,2675,49.73,628,2209,26,12.38,261.94,0,225.72,97.13,8.42,13.66,0.0,75.61,22.87,40.06,51015732.16,687090539.53,9189772281.1,47986322462.67,579708750.55,67.21,0.0
1751543095378,59.63,1.59,14.22,0,0,0.0,0,40,58,65,62,42,55,2764,45.79,649,2213,26,12.66,264.55,0,227.19,96.92,7.89,12.48,0.01,75.05,23.42,39.57,52395558.03,706523895.09,9466736758.52,48099111889.18,580245582.99,67.04,0.0
1751543096376,57.11,3.52,14.22,0,0,0.0,0,39,59,66,63,42,55,2734,48.21,642,2214,26,12.97,264.55,0,227.8,96.78,8.2,12.57,0.03,75.36,23.18,40.31,50806054.4,705856590.79,9087100122.36,47517007210.88,571196482.9,65.8,0.0
1751543097377,52.98,4.7,14.23,0,0,0.0,0,37,54,63,62,42,55,2641,50.13,620,2214,26,13.25,264.54,0,228.06,96.98,6.84,11.8,0.0,76.44,22.17,41.96,45213858.87,671426123.81,8238437976.29,48181513636.88,505244720.03,65.77,0.0
1751543098377,53.01,6.98,14.22,0,0,0.0,0,37,51,60,61,42,55,2543,48.45,597,2215,26,13.56,264.54,0,228.06,96.78,7.57,11.86,0.01,75.63,22.85,40.19,45878143.94,646032173.39,8224254904.03,43647556400.71,527729173.54,65.53,0.0
